Campus,Building,Floor,Name,X,Y,Latitude,Longitude
UofA - North Campus,CompScie,1st Floor,GPS_Marker_0,5.0216937,3.2653062,53.527004,-113.527468
UofA - North Campus,CompScie,1st Floor,GPS_Marker_1,92.35549,3.7006803,53.527001,-113.527047
UofA - North Campus,CompScie,1st Floor,GPS_Marker_2,121.61232,123.646255,53.526749,-113.526916
UofA - North Campus,CompScie,1st Floor,GPS_Marker_3,80.56543,153.03401,53.526583,-113.527103
UofA - North Campus,CompScie,1st Floor,GPS_Marker_4,9.170049,153.2517,53.526582,-113.527443
UofA - North Campus,CompScie,1st Floor,GPS_Marker_5,0.873338,53.986393,53.526862,-113.52748
UofA - North Campus,CompScie,1st Floor,GPS_Marker_6,154.47166,144.9796,53.526606,-113.526759
UofA - North Campus,CompScie,2nd Floor,GPS_Marker_0,5.0216937,3.2653062,53.527004,-113.527468
UofA - North Campus,CompScie,2nd Floor,GPS_Marker_1,92.35549,3.7006803,53.527001,-113.527047
UofA - North Campus,CompScie,2nd Floor,GPS_Marker_2,121.61232,123.646255,53.526749,-113.526916
UofA - North Campus,CompScie,2nd Floor,GPS_Marker_3,80.56543,153.03401,53.526583,-113.527103
UofA - North Campus,CompScie,2nd Floor,GPS_Marker_4,9.170049,153.2517,53.526582,-113.527443
UofA - North Campus,CompScie,2nd Floor,GPS_Marker_5,0.873338,53.986393,53.526862,-113.52748
UofA - North Campus,CompScie,2nd Floor,GPS_Marker_6,154.47166,144.9796,53.526606,-113.526759
UofA - North Campus,CompScie,3rd,GPS_Marker_0,5.0216937,3.2653062,53.527004,-113.527468
UofA - North Campus,CompScie,3rd,GPS_Marker_1,92.35549,3.7006803,53.527001,-113.527047
UofA - North Campus,CompScie,3rd,GPS_Marker_2,121.61232,123.646255,53.526749,-113.526916
UofA - North Campus,CompScie,3rd,GPS_Marker_3,80.56543,153.03401,53.526583,-113.527103
UofA - North Campus,CompScie,3rd,GPS_Marker_4,9.170049,153.2517,53.526582,-113.527443
UofA - North Campus,CompScie,3rd,GPS_Marker_5,0.873338,53.986393,53.526862,-113.52748
UofA - North Campus,CompScie,3rd,GPS_Marker_6,154.47166,144.9796,53.526606,-113.526759
UofA - North Campus,CAB,1st Floor,GPS_Marker_0,2.0,8.3960085,53.526823,-113.525063
UofA - North Campus,CAB,1st Floor,GPS_Marker_1,122.210724,9.142671,53.526816,-113.524498
UofA - North Campus,CAB,1st Floor,GPS_Marker_2,123.378555,189.56285,53.526321,-113.524501
UofA - North Campus,CAB,1st Floor,GPS_Marker_3,2.0785549,190.28418,53.52632,-113.525057
UofA - North Campus,CAB,1st Floor,GPS_Marker_4,52.9,1.0,53.52684,-113.524817
UofA - North Campus,CAB,1st Floor,GPS_Marker_5,181.58508,9.738751,53.526816,-113.524221
UofA - North Campus,CAB,1st Floor,GPS_Marker_6,43.18182,266.15567,53.526118,-113.52487
UofA - North Campus,CAB,1st Floor,GPS_Marker_7,83.04196,266.37698,53.526117,-113.524687
UofA - North Campus,CAB,2nd Floor,GPS_Marker_0,0.10869565,8.741992,53.526823,-113.525063
UofA - North Campus,CAB,2nd Floor,GPS_Marker_1,119.184784,8.963308,53.526816,-113.524498
UofA - North Campus,CAB,2nd Floor,GPS_Marker_2,119.375,189.17006,53.526321,-113.524501
UofA - North Campus,CAB,2nd Floor,GPS_Marker_3,0.08152174,189.25305,53.52632,-113.525057
UofA - North Campus,CAB,2nd Floor,GPS_Marker_4,49.130436,0.7192778,53.52684,-113.524817
UofA - North Campus,CAB,3rd Floor,GPS_Marker_0,0.10869565,8.741992,53.526823,-113.525063
UofA - North Campus,CAB,3rd Floor,GPS_Marker_1,119.184784,8.963308,53.526816,-113.524498
UofA - North Campus,CAB,3rd Floor,GPS_Marker_2,119.375,189.17006,53.526321,-113.524501
UofA - North Campus,CAB,3rd Floor,GPS_Marker_3,0.08152174,189.25305,53.52632,-113.525057
UofA - North Campus,CAB,3rd Floor,GPS_Marker_4,49.130436,0.7192778,53.52684,-113.524817
UofA - North Campus,CAB,4th Floor,GPS_Marker_0,0.10869565,8.741992,53.526823,-113.525063
UofA - North Campus,CAB,4th Floor,GPS_Marker_1,119.184784,8.963308,53.526816,-113.524498
UofA - North Campus,CAB,4th Floor,GPS_Marker_2,119.375,189.17006,53.526321,-113.524501
UofA - North Campus,CAB,4th Floor,GPS_Marker_3,0.08152174,189.25305,53.52632,-113.525057
UofA - North Campus,CAB,4th Floor,GPS_Marker_4,49.130436,0.7192778,53.52684,-113.524817
UofA - North Campus,CAB,5th Floor,GPS_Marker_0,0.10869565,8.741992,53.526823,-113.525063
UofA - North Campus,CAB,5th Floor,GPS_Marker_1,119.184784,8.963308,53.526816,-113.524498
UofA - North Campus,CAB,5th Floor,GPS_Marker_2,119.375,189.17006,53.526321,-113.524501
UofA - North Campus,CAB,5th Floor,GPS_Marker_3,0.08152174,189.25305,53.52632,-113.525057
UofA - North Campus,CAB,5th Floor,GPS_Marker_4,49.130436,0.7192778,53.52684,-113.524817
UofA - North Campus,CAB,6th Floor,GPS_Marker_0,0.10869565,8.741992,53.526823,-113.525063
UofA - North Campus,CAB,6th Floor,GPS_Marker_1,119.184784,8.963308,53.526816,-113.524498
UofA - North Campus,CAB,6th Floor,GPS_Marker_2,119.375,189.17006,53.526321,-113.524501
UofA - North Campus,CAB,6th Floor,GPS_Marker_3,0.08152174,189.25305,53.52632,-113.525057
UofA - North Campus,CAB,6th Floor,GPS_Marker_4,49.130436,0.7192778,53.52684,-113.524817
UofA - North Campus,CAB,B1,GPS_Marker_0,49.09589,9.519231,53.526829,-113.525067
UofA - North Campus,CAB,B1,GPS_Marker_1,167.23288,9.519231,53.526815,-113.5245
UofA - North Campus,CAB,B1,GPS_Marker_2,167.67123,185.40866,53.526322,-113.524501
UofA - North Campus,CAB,B1,GPS_Marker_3,50.410957,186.0577,53.526325,-113.525055
UofA - North Campus,CAB,B1,GPS_Marker_4,9.315068,206.82692,53.526266,-113.525239
UofA - North Campus,CAB,B1,GPS_Marker_5,189.80821,199.90384,53.526284,-113.524393
UofA - North Campus,CAB,B1,GPS_Marker_6,98.41096,2.3798077,53.526839,-113.524817
UofA - North Campus,CAB,B1,GPS_Marker_7,168.54794,49.326923,53.526702,-113.5245
